Sequence ID	Position	Nucleotide	Acceptor Score	Donor Score
Ex2WT_for_SpliceAI(New)	15	G	6.270131e-05	0.52291924
Ex2WT_for_SpliceAI(New)	516	G	6.562319e-05	0.17162251
Ex2WT_for_SpliceAI(New)	1190	T	0.8293012	4.8046622e-06
Ex2WT_for_SpliceAI(New)	1302	G	0.0010784526	0.514758
Ex2WT_for_SpliceAI(New)	2464	A	0.2337882	5.913877e-05
Ex2FLEx_for_SpliceAI(New)	15	G	0.0001086109	0.23743506
Ex2FLEx_Recombination_for_SpliceAI(New)	15	G	6.7327564e-05	0.5562331
Ex2FLEx_Recombination_for_SpliceAI(New)	1224	T	0.85874397	6.546893e-06
Ex2FLEx_Recombination_for_SpliceAI(New)	1336	G	0.00089585624	0.41328508
Ex2FLEx_Recombination_for_SpliceAI(New)	2532	A	0.19856466	5.998725e-05
